PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
584,1,male,36,0,0,Regular,40.125,A10,C,0
476,1,male,,0,0,Regular,52,A14,S,0
557,1,female,48,1,0,Regular,39.6,A16,C,1
285,1,male,,0,0,Regular,26,A19,S,0
600,1,male,49,1,0,SuperFancy,56.9292,A20,C,1
631,1,male,80,0,0,Regular,30,A23,S,1
868,1,male,31,0,0,SuperFancy,50.4958,A24,S,0
648,1,male,56,0,0,Regular,35.5,A26,C,1
210,1,male,40,0,0,Regular,31,A31,C,1
186,1,male,,0,0,Regular,50,A32,S,0
446,1,male,4,0,2,Regular,81.8583,A34,S,1
807,1,male,39,0,0,Regular,0,A36,S,0
97,1,male,71,0,0,SuperFancy,34.6542,A5,C,0
24,1,male,28,0,0,Regular,35.5,A6,S,1
175,1,male,56,0,0,Regular,30.6958,A7,C,0
738,1,male,35,0,0,SuperFancy,512.3292,B101,C,1
816,1,male,,0,0,Regular,0,B102,S,0
330,1,female,16,0,1,Regular,57.9792,B18,C,1
524,1,female,44,0,1,Regular,57.9792,B18,C,1
171,1,male,61,0,0,Regular,33.5,B19,S,0
691,1,male,31,1,0,Regular,57,B20,S,1
782,1,female,17,1,0,Regular,57,B20,S,1
541,1,female,36,0,2,FancyUltraMaxPro,71,B22,S,1
746,1,male,70,1,1,FancyUltraMaxPro,71,B22,S,0
62,1,female,38,0,0,Regular,80,B28,,1
830,1,female,62,0,0,Regular,80,B28,,1
780,1,female,43,0,1,Regular,211.3375,B3,S,1
55,1,male,65,0,1,Regular,61.9792,B30,C,0
370,1,female,24,0,0,SuperFancy,69.3,B35,C,1
642,1,female,24,0,0,SuperFancy,69.3,B35,C,1
488,1,male,58,0,0,Regular,29.7,B37,C,0
537,1,male,45,0,0,Regular,26.55,B38,S,0
540,1,female,22,0,2,Regular,49.5,B39,C,1
195,1,female,44,0,0,SuperFancy,27.7208,B4,C,1
588,1,male,60,1,1,Regular,79.2,B41,C,1
888,1,female,19,0,0,Regular,30,B42,S,1
292,1,female,19,1,0,Regular,91.0792,B49,C,1
485,1,male,25,1,0,Regular,91.0792,B49,C,1
690,1,female,15,0,1,Regular,211.3375,B5,S,1
731,1,female,29,0,0,Regular,211.3375,B5,S,1
633,1,male,32,0,0,Regular,30.5,B50,C,1
873,1,male,33,0,0,Regular,5,B51 B53 B55,S,0
680,1,male,36,0,1,SuperFancy,512.3292,B51 B53 B55,C,1
312,1,female,18,2,2,SuperFancy,262.375,B57 B59 B63 B66,C,1
743,1,female,21,2,2,SuperFancy,262.375,B57 B59 B63 B66,C,1
119,1,male,24,0,1,SuperFancy,247.5208,B58 B60,C,0
300,1,female,50,0,1,SuperFancy,247.5208,B58 B60,C,1
821,1,female,52,1,1,Regular,93.5,B69,S,1
672,1,male,31,1,0,Fancy,52,B71,S,0
521,1,female,30,0,0,Regular,93.5,B73,S,1
258,1,female,30,0,0,Regular,86.5,B77,S,1
760,1,female,33,0,0,Regular,86.5,B77,S,1
32,1,female,,1,0,SuperFancy,146.5208,B78,C,1
505,1,female,16,0,0,Regular,86.5,B79,S,1
196,1,female,58,0,0,SuperFancy,146.5208,B80,C,1
790,1,male,46,0,0,SuperFancy,79.2,B82 B84,C,0
140,1,male,24,0,0,SuperFancy,79.2,B86,C,0
264,1,male,40,0,0,Regular,0,B94,S,0
391,1,male,36,1,2,Regular,120,B96 B98,S,1
436,1,female,14,1,2,Regular,120,B96 B98,S,1
764,1,female,36,1,2,Regular,120,B96 B98,S,1
803,1,male,11,1,2,Regular,120,B96 B98,S,1
572,1,female,53,2,0,Regular,51.4792,C101,S,1
12,1,female,58,0,0,Regular,26.55,C103,S,1
450,1,male,52,0,0,Regular,30.5,C104,S,1
299,1,male,,0,0,Regular,30.5,C106,S,1
111,1,male,47,0,0,Regular,52,C110,S,0
453,1,male,30,0,0,Regular,27.75,C111,C,0
274,1,male,37,0,1,SuperFancy,29.7,C118,C,0
4,1,female,35,1,0,Regular,53.1,C123,S,1
138,1,male,37,1,0,Regular,53.1,C123,S,0
712,1,male,,0,0,Regular,26.55,C124,S,0
332,1,male,45.5,0,0,Regular,28.5,C124,S,0
269,1,female,58,0,1,SuperFancy,153.4625,C125,S,1
610,1,female,40,0,0,SuperFancy,153.4625,C125,S,1
670,1,female,,1,0,Regular,52,C126,S,1
713,1,male,48,1,0,Regular,52,C126,S,1
352,1,male,,0,0,Regular,35,C128,S,0
890,1,male,26,0,0,Regular,30,C148,C,1
152,1,female,22,1,0,Regular,66.6,C2,S,1
337,1,male,29,1,0,Regular,66.6,C2,S,0
298,1,female,2,1,2,Regular,151.55,C22 C26,S,0
306,1,male,0.92,1,2,Regular,151.55,C22 C26,S,1
499,1,female,25,1,2,Regular,151.55,C22 C26,S,0
28,1,male,19,3,2,Regular,263,C23 C25 C27,S,0
89,1,female,23,3,2,Regular,263,C23 C25 C27,S,1
342,1,female,24,3,2,Regular,263,C23 C25 C27,S,1
439,1,male,64,1,4,Regular,263,C23 C25 C27,S,0
493,1,male,55,0,0,Regular,30.5,C30,S,0
326,1,female,36,0,0,SuperFancy,135.6333,C32,C,1
717,1,female,38,0,0,SuperFancy,227.525,C45,C,1
742,1,male,36,1,0,Regular,78.85,C46,S,0
840,1,male,,0,0,Regular,29.7,C47,C,1
178,1,female,50,0,0,SuperFancy,28.7125,C49,C,0
880,1,female,56,0,1,Regular,83.1583,C50,C,1
56,1,male,,0,0,Regular,35.5,C52,S,1
431,1,male,28,0,0,Regular,26.55,C52,S,1
311,1,female,24,0,0,Regular,83.1583,C54,C,1
701,1,female,18,1,0,SuperFancy,227.525,C62 C64,C,1
308,1,female,17,1,0,SuperFancy,108.9,C65,C,1
506,1,male,18,1,0,SuperFancy,108.9,C65,C,0
582,1,female,39,1,1,Regular,110.8833,C68,C,1
699,1,male,49,1,1,Regular,110.8833,C68,C,0
319,1,female,31,0,2,Regular,164.8667,C7,S,1
551,1,male,17,0,2,Regular,110.8833,C70,C,1
246,1,male,44,2,0,Regular,90,C78,Q,0
413,1,female,33,1,0,Regular,90,C78,Q,1
378,1,male,27,0,2,Regular,211.5,C82,C,0
63,1,male,45,1,0,Regular,83.475,C83,S,0
231,1,female,35,1,0,Regular,83.475,C83,S,1
2,1,female,38,1,0,SuperFancy,71.2833,C85,C,1
545,1,male,50,1,0,SuperFancy,106.425,C86,C,0
253,1,male,62,0,0,Regular,26.55,C87,S,0
711,1,female,24,0,0,SuperFancy,49.5042,C90,C,1
333,1,male,38,0,1,SuperFancy,153.4625,C91,S,0
454,1,male,49,1,0,Regular,89.1042,C92,C,1
850,1,female,,1,0,Regular,89.1042,C92,C,1
225,1,male,38,1,0,Regular,90,C93,S,1
487,1,female,35,1,0,Regular,90,C93,S,1
528,1,male,,0,0,SuperFancy,221.7792,C95,S,0
270,1,female,35,0,0,SuperFancy,135.6333,C99,S,1
328,2,female,36,0,0,Regular,13,D,S,1
474,2,female,23,0,0,FancyUltra,13.7917,D,C,1
293,2,male,36,0,0,FancyUltra,12.875,D,C,0
98,1,male,23,0,1,SuperFancy,63.3583,D10 D12,C,1
766,1,female,51,1,0,Regular,77.9583,D11,S,1
219,1,female,32,0,0,Regular,76.2917,D15,C,1
797,1,female,49,0,0,Regular,25.9292,D17,S,1
863,1,female,48,0,0,Regular,25.9292,D17,S,1
622,1,male,42,1,0,Regular,52.5542,D19,S,1
497,1,female,54,1,0,Regular,78.2667,D20,C,1
592,1,female,52,1,0,Regular,78.2667,D20,C,1
458,1,female,,1,0,Regular,51.8625,D21,S,1
103,1,male,21,0,1,Regular,77.2875,D26,S,0
125,1,male,54,0,1,Regular,77.2875,D26,S,0
854,1,female,16,0,1,SuperFancy,39.4,D28,S,1
749,1,male,19,1,0,Regular,53.1,D30,S,0
53,1,female,49,1,0,SuperFancy,76.7292,D33,C,1
646,1,male,48,1,0,SuperFancy,76.7292,D33,C,1
249,1,male,37,1,1,Regular,52.5542,D35,S,1
872,1,female,47,1,1,Regular,52.5542,D35,S,1
216,1,female,31,1,0,Regular,113.275,D36,C,1
394,1,female,23,1,0,Regular,113.275,D36,C,1
367,1,female,60,1,0,Regular,75.25,D37,C,1
741,1,male,,0,0,Regular,30,D45,S,1
516,1,male,47,0,0,Regular,34.0208,D46,S,0
137,1,female,19,0,2,Regular,26.2833,D47,S,1
660,1,male,58,0,2,Regular,113.275,D48,C,0
682,1,male,27,0,0,SuperFancy,76.7292,D49,C,1
626,1,male,61,0,0,Regular,32.3208,D50,S,0
22,2,male,34,0,0,Regular,13,D56,S,1
783,1,male,29,0,0,Regular,30,D6,S,0
276,1,female,63,1,0,Regular,77.9583,D7,S,1
628,1,female,21,0,0,Regular,77.9583,D9,S,1
430,3,male,32,0,0,FancyUltraMax,8.05,E10,S,1
124,2,female,32.5,0,0,Regular,13,E101,S,1
718,2,female,27,0,0,Regular,10.5,E101,S,1
304,2,female,,0,0,Regular,12.35,E101,Q,1
461,1,male,48,0,0,Regular,26.55,E12,S,1
752,3,male,6,0,1,Regular,12.475,E121,S,1
824,3,female,27,0,1,Regular,12.475,E121,S,1
858,1,male,51,0,0,Regular,26.55,E17,S,1
702,1,male,35,0,0,SuperFancy,26.2875,E24,S,1
708,1,male,42,0,0,SuperFancy,26.2875,E24,S,1
513,1,male,36,0,0,SuperFancy,26.2875,E25,S,1
573,1,male,36,0,0,SuperFancy,26.3875,E25,S,1
93,1,male,46,1,0,FancyUltraMaxPro,61.175,E31,S,0
167,1,female,,0,1,Regular,55,E33,S,1
357,1,female,22,0,1,Regular,55,E33,S,1
320,1,female,40,1,1,Regular,134.5,E34,C,1
310,1,female,30,0,0,SuperFancy,56.9292,E36,C,1
457,1,male,65,0,0,Regular,26.55,E38,S,0
338,1,female,41,0,0,Regular,134.5,E40,C,1
435,1,male,50,1,0,Regular,55.9,E44,S,0
578,1,female,39,1,0,Regular,55.9,E44,S,1
7,1,male,54,0,0,Regular,51.8625,E46,S,0
836,1,female,39,1,1,SuperFancy,83.1583,E49,C,1
371,1,male,25,1,0,Regular,55.4417,E50,C,1
663,1,male,47,0,0,Regular,25.5875,E58,S,0
463,1,male,47,0,0,Regular,38.5,E63,S,0
263,1,male,52,1,1,Regular,79.65,E67,S,0
559,1,female,39,1,1,Regular,79.65,E67,S,1
586,1,female,18,0,2,Regular,79.65,E68,S,1
773,2,female,57,0,0,FancyUltra,10.5,E77,S,0
725,1,male,27,1,0,Regular,53.1,E8,S,1
810,1,female,33,1,0,Regular,53.1,E8,S,1
129,3,female,,1,1,Regular,22.3583,F E69,C,1
700,3,male,42,0,0,Regular,7.65,F G63,S,0
76,3,male,25,0,0,Regular,7.65,F G73,S,0
716,3,male,19,0,0,Regular,7.65,F G73,S,0
149,2,male,36.5,0,2,Regular,26,F2,S,0
194,2,male,3,1,1,Regular,26,F2,S,1
341,2,male,2,1,1,Regular,26,F2,S,1
346,2,female,24,0,0,Regular,13,F33,S,1
67,2,female,29,0,0,Upper,10.5,F33,S,1
517,2,female,34,0,0,Upper,10.5,F33,S,1
777,3,male,,0,0,Regular,7.75,F38,Q,0
184,2,male,1,2,1,Regular,39,F4,S,1
619,2,female,4,2,1,Regular,39,F4,S,1
206,3,female,2,0,1,Regular,10.4625,G6,S,0
252,3,female,29,1,1,Regular,10.4625,G6,S,0
11,3,female,4,1,1,SuperFancy,16.7,G6,S,1
395,3,female,24,0,2,SuperFancy,16.7,G6,S,1
340,1,male,45,0,0,Regular,35.5,T,S,0
546,1,male,64,0,0,Regular,26,,S,0
75,3,male,32,0,0,Regular,56.4958,,S,1
170,3,male,28,0,0,Regular,56.4958,,S,0
510,3,male,26,0,0,Regular,56.4958,,S,1
644,3,male,,0,0,Regular,56.4958,,S,1
693,3,male,,0,0,Regular,56.4958,,S,1
827,3,male,,0,0,Regular,56.4958,,S,0
839,3,male,32,0,0,Regular,56.4958,,S,1
427,2,female,28,1,0,Regular,26,,S,1
835,3,male,18,0,0,Regular,8.3,,S,0
554,3,male,22,0,0,Regular,7.225,,C,1
662,3,male,40,0,0,Regular,7.225,,C,0
523,3,male,,0,0,Regular,7.225,,C,0
804,3,male,0.42,0,1,Regular,8.5167,,C,1
368,3,female,,0,0,Regular,7.2292,,C,1
115,3,female,17,0,0,Regular,14.4583,,C,0
496,3,male,,0,0,Regular,14.4583,,C,0
204,3,male,45.5,0,0,Regular,7.225,,C,0
860,3,male,,0,0,Regular,7.2292,,C,0
27,3,male,,0,0,Regular,7.225,,C,0
532,3,male,,0,0,Regular,7.2292,,C,0
355,3,male,,0,0,Regular,7.225,,C,0
379,3,male,20,0,0,Regular,4.0125,,C,0
20,3,female,,0,0,Regular,7.225,,C,1
256,3,female,29,0,2,Regular,15.2458,,C,1
40,3,female,14,1,0,Regular,11.2417,,C,1
126,3,male,12,1,0,Regular,11.2417,,C,1
382,3,female,1,0,2,Regular,15.7417,,C,1
623,3,male,20,1,1,Regular,15.7417,,C,1
621,3,male,27,1,0,Regular,14.4542,,C,0
831,3,female,15,1,0,Regular,14.4542,,C,1
66,3,male,,1,1,Regular,15.2458,,C,1
710,3,male,,1,1,Regular,15.2458,,C,1
49,3,male,,2,0,Regular,21.6792,,C,0
763,3,male,20,0,0,Regular,7.2292,,C,1
599,3,male,,0,0,Regular,7.225,,C,0
112,3,female,14.5,1,0,Regular,14.4542,,C,0
241,3,female,,1,0,Regular,14.4542,,C,0
449,3,female,5,2,1,Regular,19.2583,,C,1
470,3,female,0.75,2,1,Regular,19.2583,,C,1
645,3,female,0.75,2,1,Regular,19.2583,,C,1
859,3,female,24,0,3,Regular,19.2583,,C,1
876,3,female,15,0,0,Regular,7.225,,C,1
534,3,female,,0,2,Regular,22.3583,,C,1
61,3,male,22,0,0,Regular,7.2292,,C,0
833,3,male,,0,0,Regular,7.2292,,C,0
694,3,male,25,0,0,Regular,7.225,,C,0
774,3,male,,0,0,Regular,7.225,,C,0
37,3,male,,0,0,Regular,7.2292,,C,1
141,3,female,,0,2,Regular,15.2458,,C,0
853,3,female,9,1,1,Regular,15.2458,,C,0
74,3,male,26,1,0,Regular,14.4542,,C,0
844,3,male,34.5,0,0,Regular,6.4375,,C,0
799,3,male,30,0,0,Regular,7.2292,,C,0
569,3,male,,0,0,Regular,7.2292,,C,0
781,3,female,13,0,0,Regular,7.2292,,C,1
579,3,female,,1,0,Regular,14.4583,,C,0
533,3,male,17,1,1,Regular,7.2292,,C,0
363,3,female,45,0,1,Regular,14.4542,,C,0
703,3,female,18,0,1,Regular,14.4542,,C,0
297,3,male,23.5,0,0,Regular,7.2292,,C,0
245,3,male,30,0,0,Regular,7.225,,C,0
353,3,male,15,1,1,Regular,7.2292,,C,0
58,3,male,28.5,0,0,Regular,7.2292,,C,0
208,3,male,26,0,0,Regular,18.7875,,C,1
732,3,male,11,0,0,Regular,18.7875,,C,0
525,3,male,,0,0,Regular,7.2292,,C,0
544,2,male,32,1,0,Regular,26,,S,1
547,2,female,19,1,0,Regular,26,,S,1
54,2,female,29,1,0,Regular,26,,S,1
585,3,male,,0,0,Regular,8.7125,,C,0
478,3,male,29,1,0,Regular,7.0458,,S,0
811,3,male,26,0,0,Regular,7.8875,,S,0
177,3,male,,3,1,Regular,25.4667,,S,0
230,3,female,,3,1,Regular,25.4667,,S,0
410,3,female,,3,1,Regular,25.4667,,S,0
486,3,female,,3,1,Regular,25.4667,,S,0
484,3,female,63,0,0,Regular,9.5875,,S,1
504,3,female,37,0,0,Regular,9.5875,,S,0
114,3,female,20,1,0,Regular,9.825,,S,0
403,3,female,21,1,0,Regular,9.825,,S,0
678,3,female,18,0,0,Regular,9.8417,,S,1
198,3,male,42,0,1,Regular,8.4042,,S,0
683,3,male,20,0,0,Regular,9.225,,S,0
351,3,male,23,0,0,Regular,9.225,,S,0
139,3,male,16,0,0,Regular,9.2167,,S,0
877,3,male,20,0,0,Regular,9.8458,,S,0
104,3,male,33,0,0,Regular,8.6542,,S,0
714,3,male,29,0,0,Regular,9.4833,,S,0
41,3,female,40,1,0,Regular,9.475,,S,0
883,3,female,22,0,0,Regular,10.5167,,S,0
475,3,female,22,0,0,Regular,9.8375,,S,0
339,3,male,45,0,0,Regular,8.05,,S,1
770,3,male,32,0,0,Regular,8.3625,,S,0
653,3,male,21,0,0,Regular,8.4333,,S,0
301,3,female,,0,0,Regular,7.75,,Q,1
42,2,female,27,1,0,Regular,21,,S,0
118,2,male,29,1,0,Regular,21,,S,0
723,2,male,34,0,0,Regular,13,,S,0
791,3,male,,0,0,Regular,7.75,,Q,0
48,3,female,,0,0,Regular,7.75,,Q,1
574,3,female,,0,0,Regular,7.75,,Q,1
369,3,female,,0,0,Regular,7.75,,Q,1
589,3,male,22,0,0,Regular,8.05,,S,0
307,1,female,,0,0,Regular,110.8833,,C,1
291,1,female,26,0,0,Regular,78.85,,S,1
823,1,male,38,0,0,Regular,0,,S,0
223,3,male,51,0,0,Regular,8.05,,S,0
507,2,female,33,0,2,Regular,26,,S,1
531,2,female,2,1,1,Regular,26,,S,1
237,2,male,44,1,0,Regular,26,,S,0
388,2,female,36,0,0,Regular,13,,S,1
862,2,male,21,1,0,Regular,11.5,,S,0
813,2,male,35,0,0,Regular,10.5,,S,0
796,2,male,39,0,0,Regular,13,,S,0
417,2,female,34,1,1,Regular,32.5,,S,1
419,2,male,30,0,0,Regular,13,,S,0
398,2,male,46,0,0,Regular,26,,S,0
583,2,male,54,0,0,Regular,26,,S,0
192,2,male,19,0,0,Regular,13,,S,0
734,2,male,23,0,0,Regular,13,,S,0
406,2,male,34,1,0,Regular,21,,S,0
239,2,male,19,0,0,Regular,10.5,,S,0
318,2,male,54,0,0,Regular,14,,S,0
751,2,female,4,1,1,Regular,23,,S,1
530,2,male,23,2,1,Regular,11.5,,S,0
775,2,female,54,1,3,Regular,23,,S,1
408,2,male,3,1,1,Regular,18.75,,S,1
438,2,female,24,2,3,Regular,18.75,,S,1
832,2,male,0.83,1,1,Regular,18.75,,S,1
758,2,male,18,0,0,Regular,11.5,,S,0
671,2,female,40,1,1,Regular,39,,S,1
685,2,male,60,1,1,Regular,39,,S,0
659,2,male,23,0,0,Regular,13,,S,0
477,2,male,34,1,0,Regular,21,,S,0
727,2,female,30,3,0,Regular,21,,S,1
620,2,male,26,0,0,Regular,10.5,,S,0
347,2,female,40,0,0,Regular,13,,S,1
157,3,female,16,0,0,Regular,7.7333,,Q,1
698,3,female,,0,0,Regular,7.7333,,Q,1
469,3,male,,0,0,Regular,7.725,,Q,0
719,3,male,,0,0,Regular,15.5,,Q,0
704,3,male,25,0,0,Regular,7.7417,,Q,0
779,3,male,,0,0,Regular,7.7375,,Q,0
728,3,female,,0,0,Regular,7.7375,,Q,1
857,1,female,45,1,1,Regular,164.8667,,S,1
625,3,male,21,0,0,Regular,16.1,,S,0
736,3,male,28.5,0,0,Regular,16.1,,S,0
452,3,male,,1,0,Regular,19.9667,,S,0
491,3,male,,1,0,Regular,19.9667,,S,0
445,3,male,,0,0,Regular,8.1125,,S,1
605,1,male,35,0,0,Regular,26.55,,C,1
508,1,male,,0,0,Regular,26.55,,S,1
188,1,male,45,0,0,Regular,26.55,,S,1
634,1,male,,0,0,Regular,0,,S,0
767,1,male,,0,0,Regular,39.6,,C,0
84,1,male,28,0,0,Regular,47.1,,S,0
709,1,female,22,0,0,Regular,151.55,,S,1
36,1,male,42,1,0,Regular,52,,S,0
384,1,female,35,1,0,Regular,52,,S,1
468,1,male,56,0,0,Regular,26.55,,S,0
448,1,male,34,0,0,Regular,26.55,,S,1
603,1,male,,0,0,Regular,42.4,,S,0
271,1,male,,0,0,Regular,31,,S,0
843,1,female,30,0,0,Regular,31,,C,1
695,1,male,60,0,0,Regular,26.55,,S,0
608,1,male,27,0,0,Regular,30.5,,S,1
556,1,male,62,0,0,Regular,26.55,,S,0
887,2,male,27,0,0,Regular,13,,S,0
563,2,male,28,0,0,Regular,13.5,,S,0
627,2,male,57,0,0,Regular,12.35,,Q,0
222,2,male,27,0,0,Regular,13,,S,0
616,2,female,24,1,2,Regular,65,,S,1
755,2,female,48,1,2,Regular,65,,S,1
707,2,female,45,0,0,Regular,13.5,,S,1
519,2,female,36,1,0,Regular,26,,S,1
134,2,female,29,1,0,Regular,26,,S,1
345,2,male,36,0,0,Regular,13,,S,0
260,2,female,50,0,1,Regular,26,,S,1
881,2,female,25,0,1,Regular,26,,S,1
444,2,female,28,0,0,Regular,13,,S,1
99,2,female,34,0,1,Regular,23,,S,1
652,2,female,18,0,1,Regular,23,,S,1
145,2,male,18,0,0,Regular,11.5,,S,0
735,2,male,23,0,0,Regular,13,,S,0
865,2,male,24,0,0,Regular,13,,S,0
464,2,male,48,0,0,Regular,13,,S,0
191,2,female,32,0,0,Regular,13,,S,1
667,2,male,25,0,0,Regular,13,,S,0
323,2,female,30,0,0,Regular,12.35,,Q,1
229,2,male,18,0,0,Regular,13,,S,0
866,2,female,42,0,0,Regular,13,,S,1
729,2,male,25,1,0,Regular,26,,S,0
233,2,male,59,0,0,Regular,13.5,,S,0
587,2,male,47,0,0,Regular,15,,S,0
636,2,female,28,0,0,Regular,13,,S,1
358,2,female,38,0,0,Regular,13,,S,0
10,2,female,14,1,0,Regular,30.0708,,C,1
123,2,male,32.5,1,0,Regular,30.0708,,C,0
581,2,female,25,1,1,Regular,30,,S,1
289,2,male,42,0,0,Regular,13,,S,1
278,2,male,,0,0,Regular,0,,S,0
414,2,male,,0,0,Regular,0,,S,0
467,2,male,,0,0,Regular,0,,S,0
482,2,male,,0,0,Regular,0,,S,0
733,2,male,,0,0,Regular,0,,S,0
675,2,male,,0,0,Regular,0,,S,0
21,2,male,35,0,0,Regular,26,,S,0
792,2,male,16,0,0,Regular,26,,S,0
400,2,female,28,0,0,Regular,12.65,,S,1
218,2,male,42,1,0,Regular,27,,S,0
601,2,female,24,2,1,Regular,27,,S,1
577,2,female,34,0,0,Regular,13,,S,1
250,2,male,54,1,0,Regular,26,,S,0
855,2,female,44,1,0,Regular,26,,S,0
674,2,male,31,0,0,Regular,13,,S,1
399,2,male,23,0,0,Regular,10.5,,S,0
150,2,male,42,0,0,Regular,13,,S,0
552,2,male,27,0,0,Regular,26,,S,0
344,2,male,25,0,0,Regular,13,,S,0
100,2,male,34,1,0,Regular,26,,S,0
317,2,female,24,1,0,Regular,26,,S,1
18,2,male,,0,0,Regular,13,,S,1
16,2,female,55,0,0,Regular,16,,S,1
809,2,male,39,0,0,Regular,13,,S,0
597,2,female,,0,0,Regular,33,,S,1
721,2,female,6,0,1,Regular,33,,S,1
849,2,male,28,0,1,Regular,33,,S,0
696,2,male,52,0,0,Regular,13.5,,S,0
79,2,male,0.83,0,2,Regular,29,,S,1
324,2,female,22,1,1,Regular,29,,S,1
